Town,sq_mtrs,Bedrooms,Bathrooms,Price
 Athi River,3.0,3.0,2.0,35000.0
 Athi River,3.0,3.0,2.0,35000.0
 Athi River,3.0,3.0,3.0,45000.0
 Athi River,1.0,1.0,1.0,17000.0
 Athi River,3.0,3.0,3.0,45000.0
 Athi River,3.0,3.0,2.0,35000.0
 Athi River,3.0,3.0,4.0,45000.0
 Athi River,3.0,3.0,3.0,35000.0
 Athi River,3.0,3.0,3.0,35000.0
 Athi River,3.0,3.0,2.0,35000.0
 Athi River,2.0,2.0,2.0,28000.0
 Athi River,3.0,3.0,2.0,35000.0
 Athi River,105.0,3.0,2.0,33000.0
 Athi River,3.0,3.0,2.0,30000.0
 Athi River,3.0,3.0,2.0,30000.0
 Athi River,2.0,2.0,2.0,28000.0
 Athi River,105.0,3.0,2.0,33000.0
 Athi River,3.0,3.0,3.0,45000.0
 Athi River,3.0,3.0,3.0,45000.0
 Athi River,3.0,3.0,4.0,45000.0
 Athi River,3.0,3.0,2.0,35000.0
 Athi River,1.0,1.0,1.0,17000.0
 Athi River,3.0,3.0,2.0,40000.0
 Athi River,2.0,2.0,2.0,28000.0
 Athi River,2.0,2.0,2.0,28000.0
 Athi River,3.0,3.0,2.0,40000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,1.0,1.0,1.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,80.0,1.0,1.0,65000.0
 Dagoretti North,2.0,2.0,2.0,180000.0
 Dagoretti North,3.0,3.0,2.0,65000.0
 Dagoretti North,3.0,3.0,2.0,60000.0
 Dagoretti North,3.0,3.0,3.0,60000.0
 Dagoretti North,3.0,3.0,2.0,60000.0
 Dagoretti North,2.0,2.0,2.0,60000.0
 Dagoretti North,2.0,2.0,2.0,60000.0
 Dagoretti North,2.0,2.0,2.0,60000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,60000.0
 Dagoretti North,90.0,1.0,1.0,65000.0
 Dagoretti North,1.0,1.0,1.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,1.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,90.0,1.0,1.0,65000.0
 Dagoretti North,111.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,3.0,3.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,3.0,3.0,3.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,3.0,3.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,1.0,1.0,1.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,100.0,1.0,1.0,65000.0
 Dagoretti North,1.0,1.0,1.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,3.0,3.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,1.0,1.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,3.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,2.0,2.0,2.0,65000.0
 Dagoretti North,3.0,3.0,2.0,65000.0
